role_bucket,k,silhouette,min_cluster_share,adjusted_score,note,selected_k,status,n_players,n_metrics
GK,3,0.1632989499859724,0.32825719120135366,0.1632989499859724,,3,clustered,1773,36
GK,4,0.13703373384996106,0.1895093062605753,0.13703373384996106,,3,clustered,1773,36
GK,5,0.13614585387030767,0.16412859560067683,0.13614585387030767,,3,clustered,1773,36
GK,6,0.13025706540119095,0.10885504794134236,0.13025706540119095,,3,clustered,1773,36
GK,7,0.11447417503366515,0.10039481105470953,0.11447417503366515,,3,clustered,1773,36
