role_bucket,style_cluster_id,metric,cluster_median,role_median,difference,z_difference,coverage
FB,FB_C03,Crosses,2.25,1.7,0.55,0.5892670394231188,1.0
FB,FB_C03,Passes into the penalty box,3.33,2.22,1.1099999999999999,0.7229591258618991,1.0
FB,FB_C03,Open passes received in the final third,8.24,6.525,1.7149999999999999,0.5580461543770999,1.0
FB,FB_C03,Dribbles,2.0549999999999997,1.35,0.7049999999999996,0.6913314608693797,0.9991111111111111
FB,FB_C03,Defensive challenges,7.77,5.45,2.3199999999999994,1.1696865634003264,1.0
FB,FB_C03,Tackles,3.38,2.11,1.27,1.1640597321409971,1.0
FB,FB_C03,Ball recoveries,4.79,4.2,0.5899999999999999,0.5552996066749598,1.0
FB,FB_C03,Lost balls,5.29,5.26,0.03000000000000025,0.025541973730441623,1.0
MF,MF_C01,Passes,33.675,40.754999999999995,-7.079999999999998,-0.6410733911575359,1.0
MF,MF_C01,Short passes,8.88,10.47,-1.5899999999999999,-0.48436725084540094,1.0
MF,MF_C01,Progressive passes,6.88,8.38,-1.5000000000000009,-0.5355253036412329,1.0
MF,MF_C01,Passes forward to the final third,3.8049999999999997,4.75,-0.9450000000000003,-0.5197826760388051,1.0
MF,MF_C01,Final third entries,1.26,2.01,-0.7499999999999998,-0.5611472313219771,1.0
MF,MF_C01,Final third entries through pass,1.16,1.81,-0.6500000000000001,-0.60318204385446,1.0
MF,MF_C01,Final third entries through carry,0.1,0.20500000000000002,-0.10500000000000001,-0.25880792030360633,0.6661220043572985
MF,MF_C01,Key passes,0.23,0.34,-0.11000000000000001,-0.3100849869529239,0.9074074074074074
MF,MF_C01,Passes for a shot,0.27,0.38,-0.10999999999999999,-0.34307658694138354,0.9493464052287581
MF,MF_C01,Chances created,0.28,0.36,-0.07999999999999996,-0.23108666619649643,0.9411764705882353
MF,MF_C01,Open passes received,23.81,30.33,-6.52,-0.6395131005556823,1.0
MF,MF_C01,Open passes received in the central third,14.735,19.07,-4.335000000000001,-0.6380056199338529,1.0
MF,MF_C01,Open passes received in the final third,4.37,5.555,-1.1849999999999996,-0.3708300227164509,1.0
MF,MF_C01,Interceptions,2.26,2.53,-0.27,-0.18722467818339644,1.0
MF,MF_C01,Ball recoveries,3.64,3.83,-0.18999999999999995,-0.1721556733861878,1.0
MF,MF_C01,Defensive challenges,4.86,5.25,-0.3899999999999997,-0.19121432849891049,1.0
MF,MF_C01,Lost balls,3.89,4.27,-0.37999999999999945,-0.28966916280636335,1.0
MF,MF_C02,Passes,48.25,40.754999999999995,7.4950000000000045,0.6786504331533526,1.0
MF,MF_C02,Short passes,12.19,10.47,1.7199999999999989,0.5239696046881064,1.0
MF,MF_C02,Progressive passes,10.1,8.38,1.7199999999999989,0.6140690148419462,1.0
MF,MF_C02,Passes forward to the final third,5.87,4.75,1.12,0.6160387271571023,1.0
MF,MF_C02,Final third entries,2.07,2.01,0.06000000000000005,0.04489177850575822,1.0
MF,MF_C02,Final third entries through pass,1.99,1.81,0.17999999999999994,0.16703502752892727,1.0
MF,MF_C02,Final third entries through carry,0.09,0.20500000000000002,-0.11500000000000002,-0.28345629366585456,0.6843501326259946
MF,MF_C02,Key passes,0.39,0.34,0.04999999999999999,0.1409477213422381,0.9752431476569408
MF,MF_C02,Passes for a shot,0.44,0.38,0.06,0.18713268378620923,0.9858532272325375
MF,MF_C02,Chances created,0.48,0.36,0.12,0.3466299992947448,0.9876215738284704
MF,MF_C02,Open passes received,36.3,30.33,5.969999999999999,0.5855664433002182,1.0
MF,MF_C02,Open passes received in the central third,23.19,19.07,4.120000000000001,0.6063628959924968,1.0
MF,MF_C02,Open passes received in the final third,6.5,5.555,0.9450000000000003,0.29572520798906865,1.0
MF,MF_C02,Interceptions,2.04,2.53,-0.48999999999999977,-0.3397781196661637,1.0
MF,MF_C02,Ball recoveries,3.89,3.83,0.06000000000000005,0.05436494949037516,1.0
MF,MF_C02,Defensive challenges,4.37,5.25,-0.8799999999999999,-0.43145797199754193,1.0
MF,MF_C02,Lost balls,4.4,4.27,0.13000000000000078,0.09909734517059872,1.0
MF,MF_C03,Passes,40.805,40.754999999999995,0.05000000000000426,0.004527354457327618,1.0
MF,MF_C03,Short passes,10.16,10.47,-0.3100000000000005,-0.09443638224029845,1.0
