role_bucket,style_cluster_id,metric,cluster_median,role_median,difference,z_difference,coverage
GK,GK_C02,Open play passes,19.695,19.03,0.6649999999999991,0.09115826399409359,1.0
GK,GK_C02,Passes from set pieces,9.74,8.03,1.7100000000000009,0.8062947281992088,1.0
GK,GK_C02,Goal kicks,6.78,5.655,1.125,0.7297063819122878,1.0
GK,GK_C02,Long passes,14.61,11.15,3.459999999999999,0.8571710348389389,1.0
GK,GK_C02,Progressive open passes,2.84,2.6,0.23999999999999977,0.22214494886507336,1.0
GK,GK_C02,Short passes,1.01,1.28,-0.27,-0.2668392163314119,0.9982935153583617
GK,GK_C02,Medium passes,13.985,15.35,-1.3650000000000002,-0.24956079523351538,1.0
GK,GK_C02,Goal kicks short (<15 m),0.64,0.83,-0.18999999999999995,-0.32816001856276966,0.9812286689419796
GK,GK_C02,Goal kicks medium (15-40 m),1.32,1.36,-0.040000000000000036,-0.058597804940518174,0.9931740614334471
GK,GK_C02,Goal kicks long (40+ m),4.47,3.125,1.3449999999999998,0.8927534693132785,1.0
GK,GK_C02,Long pass share,0.4874609121994634,0.398705501618123,0.0887554105813404,0.6898660490946512,1.0
GK,GK_C02,Open play pass share,0.6636073501217346,0.6658042259594652,-0.0021968758377306496,-0.01793490928287004,1.0
GK,GK_C02,Set-piece pass share,0.32761237483356564,0.2851138353765324,0.042498539457033246,0.4754433741148331,1.0
GK,GK_C02,Goal kick long share,0.6882222146204633,0.5591841264316503,0.12903808818881302,0.7562736363492482,1.0
GK,GK_C02,Goal kick short-medium share,0.3091478037082529,0.4385491515058859,-0.12940134779763302,-0.7598760161869997,1.0
GK,GK_C02,Actions,36.625,37.5,-0.875,-0.14399807876628726,1.0
GK,GK_C02,Actions unsuccessful,12.0,9.0,3.0,0.8259452790515105,1.0
GK,GK_C03,Shots faced,10.7,11.04,-0.33999999999999986,-0.15800286799677427,0.9897084048027445
GK,GK_C03,Shots on target faced,3.92,4.05,-0.1299999999999999,-0.14464038067600288,0.9897084048027445
GK,GK_C03,Opponent's close-range shots,3.85,4.12,-0.27,-0.26333510746369615,0.9897084048027445
GK,GK_C03,Opponent's mid-range shots,3.85,3.84,0.010000000000000231,0.010994577308257123,0.9897084048027445
GK,GK_C03,Opponent's long-range shots,2.82,2.93,-0.11000000000000032,-0.15328601079005358,0.9897084048027445
GK,GK_C03,Opponent's close-range shots on target,1.16,1.22,-0.06000000000000005,-0.14399148311065818,0.9897084048027445
GK,GK_C03,Opponent's mid-range shots on target,1.69,1.74,-0.050000000000000044,-0.1094898829380282,0.9897084048027445
GK,GK_C03,Opponent's long-range shots on target,0.97,1.02,-0.050000000000000044,-0.15424921542785944,0.9897084048027445
GK,GK_C03,Opponent's shots xG,1.25,1.31,-0.06000000000000005,-0.18821879434787409,0.9897084048027445
GK,GK_C03,xG per opponent's shot,0.12,0.12,0.0,0.0,0.9897084048027445
GK,GK_C03,"Caught shots, %",0.0,0.0057,-0.0057,-0.03859697040300573,0.9897084048027445
GK,GK_C03,"Parried shots to safety, %",0.0,0.0,0.0,0.0,0.9897084048027445
GK,GK_C03,"Parried shots into danger, %",0.0,0.0,0.0,0.0,0.9897084048027445
GK,GK_C03,Opponent's crosses,7.96,9.7,-1.7399999999999993,-0.47508321636223205,0.9897084048027445
GK,GK_C03,Cross and pass interception attempts,0.35,0.47,-0.12,-0.3227163170165894,0.9691252144082333
GK,GK_C03,Successful cross and pass interception attempts,0.19,0.3,-0.10999999999999999,-0.2819701590483715,0.9262435677530018
GK,GK_C03,Sweeping actions,0.37,0.34,0.02999999999999997,0.12125987837316851,0.9622641509433962
GK,GK_C03,Sweeping actions successful,0.36,0.33,0.02999999999999997,0.12426024277497301,0.9622641509433962
GK,GK_C03,Passes,32.18,28.65,3.530000000000001,0.5555402102056968,1.0
GK,GK_C03,Open play passes,24.87,19.03,5.84,0.800547761993244,1.0
GK,GK_C03,Passes from set pieces,7.18,8.03,-0.8499999999999996,-0.40078977717504494,1.0
GK,GK_C03,Goal kicks,5.015,5.655,-0.6400000000000006,-0.41512185282121294,0.9914236706689536
GK,GK_C03,Long passes,9.84,11.15,-1.3100000000000005,-0.3245358542309279,1.0
GK,GK_C03,Progressive open passes,2.92,2.6,0.31999999999999984,0.2961932651534313,1.0
GK,GK_C03,Short passes,1.62,1.28,0.3400000000000001,0.33601975389881505,1.0
GK,GK_C03,Medium passes,20.25,15.35,4.9,0.8958592649408244,1.0
GK,GK_C03,Goal kicks short (<15 m),0.86,0.83,0.030000000000000027,0.051814739773068955,0.9914236706689536
GK,GK_C03,Goal kicks medium (15-40 m),1.62,1.36,0.26,0.3808857321133678,0.9897084048027445
GK,GK_C03,Goal kicks long (40+ m),2.35,3.125,-0.7749999999999999,-0.5144118503477999,0.9914236706689536
GK,GK_C03,Long pass share,0.3116570327552986,0.398705501618123,-0.08704846886282441,-0.6765985634092769,1.0
GK,GK_C03,Open play pass share,0.7726811961479979,0.6658042259594652,0.1068769701885327,0.8725248518092876,1.0
GK,GK_C03,Set-piece pass share,0.21947401377582967,0.2851138353765324,-0.06563982160070272,-0.7343315477861457,1.0
GK,GK_C03,Goal kick long share,0.4655632411067194,0.5591841264316503,-0.09362088532493085,-0.5486985151184198,0.9914236706689536
GK,GK_C03,Goal kick short-medium share,0.532948882512836,0.4385491515058859,0.0943997310069501,0.5543380555731564,0.9914236706689536
GK,GK_C03,Actions,38.83,37.5,1.3299999999999983,0.21887707972475637,1.0
GK,GK_C03,Actions unsuccessful,9.0,9.0,0.0,0.0,1.0
