role_bucket,style_cluster_id,n_players,median_age,median_minutes,top_teams,representative_players,distinctive_high,distinctive_low,style_cluster_name,style_cluster_short_label,style_cluster_description
GK,GK_C01,604,31.0,1964.5,"Al-Arabi SC, Al-Shabab FC, SC Internacional, Al-Adalah FC, Al-Khaleej FC","Okan Kocuk (Samsunspor, 2025-2026) | Marek Rodák (Al-Ettifaq FC, 2024-2025) | Ronaldo (Atletico Goianiense, 2024) | Okan Kocuk (Samsunspor, 2024-2025) | Sergio Rochet (SC Internacional, 2023) | Moslem Al Freej (Al-Safa FC, 2023-2024) | Strahinja Manojlovic (FK Radnicki Nis, 2025-2026) | Munir El Kajoui (Al-Wehda FC, 2023-2024)","+Parried shots to safety, %, +Caught shots, %, +Parried shots into danger, %, +Opponent's crosses, +Successful cross and pass interception attempts, +Cross and pass interception attempts","-Actions unsuccessful, -Open play pass share, -Open play passes, -Passes, -Opponent's mid-range shots, -Progressive open passes",Commanding Goalkeeper,Commanding GK,Area-commanding goalkeeper with high cross/interception activity and strong handling profile; lower involvement in open-play build-up.
GK,GK_C02,586,29.0,2168.5,"Sampdoria, West Ham United, Avs Futebol, Heracles Almelo, Shimizu S-Pulse","Victor Aznar (Cádiz CF, 2025-2026) | Taishi Brandon Nozawa (Royal Antwerpen, 2025-2026) | Simone Colombi (Virtus Entella, 2025-2026) | Bernardo (Tondela, 2025-2026) | Patrick Sequeira (Casa Pia, 2025-2026) | Gregoire Coudert (Stade Brestois 29, 2025-2026) | Nediljko Labrovic (FC Augsburg, 2024-2025) | Marko Dmitrovic (RCD Espanyol Barcelona, 2025-2026)","+Goal kicks long (40+ m), +Long passes, +Actions unsuccessful, +Passes from set pieces, +Goal kick long share, +Goal kicks","-Goal kick short-medium share, -Goal kicks short (<15 m), -Short passes, -Successful cross and pass interception attempts, -Medium passes, -Cross and pass interception attempts",Traditional Shot-Stopper,Shot-Stopper,"Traditional goalkeeper profile with longer distribution, higher shot workload and less short build-up involvement."
GK,GK_C03,583,29.0,2280.0,"FC Barcelona, Como 1907, SS Lazio, Bologna FC 1909, Mantova","Leo Kokubo (Sint-Truidense VV, 2025-2026) | Josip Posavec (Lokomotiva Zagreb, 2025-2026) | Alexander Schlager (Red Bull Salzburg, 2025-2026) | Paulo Gazzaniga (Girona FC, 2024-2025) | Sebastiano Desplanches (Palermo, 2024-2025) | Emiliano Martínez (Aston Villa, 2024-2025) | Filip Manojlović (Djurgårdens IF, 2025) | Kyung-Min Kim (Gwangju, 2025)","+Medium passes, +Open play pass share, +Open play passes, +Passes, +Goal kick short-medium share, +Goal kicks medium (15-40 m)","-Set-piece pass share, -Long pass share, -Goal kick long share, -Goal kicks long (40+ m), -Opponent's crosses, -Goal kicks",Sweeper Keeper,Sweeper Keeper,"Modern build-up goalkeeper with stronger open-play passing, short/medium distribution and sweeper involvement."
